SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,7477,7477,0,0,0,-773,-773,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,132,126,6,0,0,1,0,1,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,306,129,173,4,0,18,18,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,303,86,213,4,0,4,4,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,281,165,114,2,0,6,1,5,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,566,164,393,9,0,8,5,3,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,570,194,353,23,0,19,8,11,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,776,145,603,28,0,4,-1,5,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,838,520,318,0,0,28,12,16,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,86,17,69,0,0,1,-1,2,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,352,160,188,4,0,17,17,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,33,22,11,0,0,1,1,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,143,59,83,1,0,15,7,8,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,45,32,13,0,0,2,2,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,209,149,60,0,0,21,21,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,173,59,114,0,0,9,9,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,38,38,0,0,0,3,3,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,2,2,0,0,0,1,1,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,2,1,1,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,1,1,0,0,0,1,1,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,2,2,0,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,1,0,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,7,7,0,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,1,1,0,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,1,1,0,0,0,1,1,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,1,0,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,1,1,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,16,16,0,0,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,85,45,40,0,0,5,5,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,46,39,7,0,0,2,2,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,13,8,5,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,89,7,82,0,0,7,3,4,0,,
47,AS,Assam,AS_Charaideo,Charaideo,15,15,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,33,33,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,75,75,0,0,0,10,10,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,51,45,6,0,0,1,0,1,0,,
51,AS,Assam,AS_Dhubri,Dhubri,306,301,5,0,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,50,45,5,0,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,88,81,7,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,48,38,4,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,220,178,42,0,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,49,43,5,1,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,237,237,0,0,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,27,-1,28,0,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,146,125,21,0,0,26,26,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,405,91,311,3,0,1,-20,21,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,11,6,5,0,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,77,61,16,0,0,0,-3,3,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,57,57,0,0,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,67,61,6,0,0,6,6,0,0,,
65,AS,Assam,AS_Majuli,Majuli,6,6,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,49,39,10,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,144,122,22,0,0,37,37,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,25,16,9,0,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,27,27,0,0,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,34,8,26,0,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,6,5,1,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,68,68,0,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,65,63,2,0,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,17,17,0,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,78,48,29,1,0,5,4,1,0,,
76,BR,Bihar,BR_Arwal,Arwal,58,20,38,0,0,4,4,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,85,32,53,0,0,0,-7,7,0,,
78,BR,Bihar,BR_Banka,Banka,137,57,80,0,0,5,5,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,262,142,117,3,0,0,0,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,248,118,129,1,0,3,-41,44,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,112,71,39,2,0,1,1,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,140,36,104,0,0,10,10,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,130,75,54,1,0,0,-1,0,1,,
101,BR,Bihar,BR_East Champaran,East Champaran,130,63,66,1,0,0,0,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,123,87,36,0,0,6,6,0,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,136,61,75,0,0,2,1,1,0,,
86,BR,Bihar,BR_Jamui,Jamui,46,22,23,1,0,0,-4,4,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,178,54,123,1,0,0,-1,1,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,102,46,56,0,0,0,-5,5,0,,
89,BR,Bihar,BR_Katihar,Katihar,174,95,79,0,0,5,5,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,279,166,110,3,0,0,-19,19,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,104,85,19,0,0,3,3,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,67,37,30,0,0,0,-9,9,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,99,62,36,1,0,2,2,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,237,151,86,0,0,19,19,0,0,,
95,BR,Bihar,BR_Munger,Munger,208,74,133,1,0,11,11,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,121,85,35,1,0,13,9,4,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,124,36,87,1,0,0,0,0,0,,
98,BR,Bihar,BR_Nawada,Nawada,144,85,58,1,0,5,-4,9,0,,
100,BR,Bihar,BR_Patna,Patna,288,91,195,2,0,9,1,8,0,,
102,BR,Bihar,BR_Purnia,Purnia,149,99,50,0,0,9,9,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,245,58,186,1,0,11,10,1,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,88,43,45,0,0,3,3,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,133,69,63,1,0,3,-6,9,0,,
106,BR,Bihar,BR_Saran,Saran,103,57,45,1,0,0,-9,9,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,115,82,33,0,0,4,4,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,24,14,9,1,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,78,43,33,2,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,157,97,58,2,0,28,22,6,0,,
111,BR,Bihar,BR_Supaul,Supaul,160,116,44,0,0,6,6,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,97,46,49,2,0,5,5,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,88,51,37,0,0,5,5,0,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,320,41,274,5,0,6,6,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,41,21,20,0,0,0,-1,1,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,117,103,14,0,0,15,14,1,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,22,14,8,0,0,0,0,0,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,24,10,14,0,0,3,2,1,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,3,2,0,1,0,0,0,0,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,0,0,0,0,0,0,0,0,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,100,66,33,1,0,1,-7,8,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,0,0,0,0,0,0,0,0,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,6,4,2,0,0,0,-1,1,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,41,29,11,1,0,0,-1,1,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,10,6,4,0,0,0,0,0,0,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,63,47,16,0,0,6,6,0,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,78,70,8,0,0,0,-2,2,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,81,68,13,0,0,6,6,0,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,0,0,0,0,0,0,0,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,125,87,38,0,0,17,13,4,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,45,38,7,0,0,7,5,2,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,57,52,5,0,0,0,-5,5,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,97,44,53,0,0,11,10,1,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,0,0,0,0,0,0,0,0,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,47,34,13,0,0,1,0,1,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,89,78,10,1,0,7,6,1,0,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,57,49,8,0,0,5,-2,7,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,0,0,0,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,11,3,8,0,0,0,-1,1,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,14,7,7,0,0,0,0,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,26,13,13,0,0,5,3,2,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,3,0,3,0,0,0,-3,3,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,,
